CTAC,CTLESS,LABEL
-1.1962875176309746,-2.893115344123826,1
-0.9090609656169831,-2.790976083978114,1
-0.9771638098052494,-2.7597989762697046,1
-0.6805694383339506,-2.380695784167919,1
-1.2614788441399285,-2.4855399347575586,1
-1.5917046550368947,-2.48102384616168,1
-2.4136478749538273,-2.2870845252896426,1
-1.7020485510192567,-2.2487308066467877,1
-1.3243355362415126,-2.0770433593158724,1
-1.5338911718523787,-1.9782778747564296,1
-1.728953703430427,-1.7604480612601434,1
-2.3564139263114066,-1.5348753016649985,1
-1.9392087386110821,-2.387546884030876,1
-1.8637703486270554,-2.477627215055386,1
-1.849648820774261,-2.619001560406343,1
-1.8555123950497294,-1.8554514881140067,1
-2.1912742767789046,-1.9635441287645232,1
-2.2530585909254417,-2.1471108930738234,1
-0.9575540269544538,-1.7399578263750677,1
-1.3003092040524895,-1.6830405920047813,1
-1.4747623890323498,-1.6107267764452788,1
-0.4528147237671513,-2.316646252752154,1
-0.5272497477300737,-2.2486398400147283,1
-0.5293257112577199,-2.3255026368918426,1
-0.7730253590680579,-3.327030106184358,1
-1.036989789351038,-3.255555848022972,1
-1.5326822610381472,-3.1524032306373355,1
-1.46453365493077,-2.1430874452166018,1
-1.1640013622626724,-2.224675053739666,1
-0.861327281780634,-2.269437899192188,1
-1.5695836031198933,-1.0993642616676176,1
-1.3746542495532967,-0.9845043432253568,1
-1.1000361047412166,-1.0848514090291608,1
-2.3680060160402823,-2.3467789365823366,1
-2.178430615097075,-2.4656710541386744,1
-1.8753971478640044,-2.490882519007476,1
-1.1967161481832176,-1.2985105892093263,1
-1.455236261436634,-1.5266722321119461,1
-1.6454454084778627,-1.6746657163969538,1
-1.7652426540008552,-2.4802508788371425,1
-1.6878633421031703,-2.4512471035111427,1
-1.1558979196019321,-2.359458887785923,1
-1.183367113581866,-1.5447192797531484,1
-0.9213079674190409,-1.683999561242355,1
-0.8678036761398408,-1.7685099178208445,1
-1.6601103860766413,-2.479934039456057,1
-1.1359603711652029,-2.3419331762713114,1
-0.5970756254206124,-2.331387293566178,1
-2.0954694636559674,-2.1406815085296196,1
-2.1969862329856387,-2.4163652026502955,1
-1.8241110576231863,-2.459247035226344,1
-1.710061467755403,-2.2770744322492065,1
-1.738654885631042,-2.379317746573796,1
-1.6934230144219578,-2.436328168332394,1
-1.2673003358349981,-2.3876464033668494,1
-1.3234318763047501,-2.6520647193575284,1
-1.6341415891500641,-2.685183399792572,1
-1.77922574432107,-1.7599003401958195,1
-1.597707918882564,-1.8682199709814573,1
-1.5703876281144185,-1.9222607020245808,1
-2.3942308639840744,-2.352317004319257,1
-1.9779524287168513,-2.1749403679156973,1
-1.8386483770441377,-2.0851327661444286,1
-0.9778853310387189,-1.9836115300685646,1
-1.0256896398458284,-2.0547726363464243,1
-1.1171330520190939,-1.965813302034897,1
-1.8397328941128617,-2.1226656199696197,1
-1.8246355605462632,-2.016448333224289,1
-1.5763157514903308,-1.9662935738979028,1
-1.2834332473234449,-2.060948100173685,1
-1.118766634408582,-1.9377024874670123,1
