CTAC,NAC,CTLESS_CZT,CTLESS_NaI,LABEL
-2.72105759264154,-3.8283000649428,-2.87747835621868,-2.65870594009222,0
-2.8766802910065,-2.18284455766344,-2.83092823486807,-2.76155977624509,0
-2.56932749495822,-3.77634577479797,-2.30006757533413,-2.56304113178826,0
-2.65706269703395,-2.20093935863563,-2.51078644542202,-3.25342281796073,0
0.0679792864418687,0.407329884455681,0.276760669928984,-0.290717390996869,0
-2.52781887615954,-2.47525645724416,-2.4642067801182,-1.97287800580301,0
-3.04662794340171,-1.77063431586539,-2.9831396076298,-2.80276459695771,0
-2.43127034398323,-2.0995923684346,-2.38802825953481,-2.78742910443976,0
-3.53303488489375,-2.37531530092385,-3.2884055855016,-3.23640414080619,0
-2.56748040047297,-1.2125737136924,-2.66401487813995,-2.77639092186666,0
-2.22933124024816,-1.95563792344631,-2.06014082946065,-1.672902552006,0
-1.37289952245588,-0.578668412283374,-1.78458681589536,-1.8831585328633,0
-2.28773272584648,-0.59972253871093,-1.97435710446957,-2.10235008833749,0
-0.349083016741374,0.626286851087559,-0.335554977073679,-0.419265047583273,0
-2.69013423470909,-1.92366416377953,-2.7834620592811,-2.21182831267,0
-2.24974008307005,-0.876356694187095,-1.823958813144,-2.41743034757764,0
-2.9692431848972,-1.78568435532701,-2.84990627939922,-3.28373699872432,0
-2.3066658847485,-0.932687877284073,-1.69201223604606,-2.64147792428625,0
-2.2963655292744,-0.703346675235973,-2.06534353960845,-2.47884262655653,0
-2.3775885519065,-0.806521253884116,-2.05850099656995,-1.98872565466597,0
-2.5051307396656,-1.58661033297897,-2.3821681576192,-2.35191420698087,0
-1.5289248987632,-0.439094642401222,-1.56396310122685,-1.58103960603452,0
-1.0180324436227,-0.298881517217105,-1.25534889286877,-1.24549294629142,0
-3.18975737850458,-2.03811924990247,-2.97037060625251,-2.90760768478117,0
-1.17769075956283,-0.645385914002671,-1.51417575016145,-1.49401406534921,0
-1.648780555727,-0.828182754995274,-1.77029068976799,-1.73354465950711,0
