CTAC,CTLESS,LABEL
-3.2901909153608546,-2.893115344123826,1
-3.1432847110347426,-2.790976083978114,1
-3.064282884828108,-2.7597989762697046,1
-1.650822384548725,-2.380695784167919,1
-1.9825772393656917,-2.4855399347575586,1
-2.126685332911319,-2.48102384616168,1
-2.2182311993313686,-2.2870845252896426,1
-2.267650525394332,-2.2487308066467877,1
-2.3535794353473354,-2.0770433593158724,1
-2.4645718342882077,-1.9782778747564296,1
-2.3283456323769003,-1.7604480612601434,1
-2.1418899757934025,-1.5348753016649985,1
-3.123186998319097,-2.387546884030876,1
-3.269942122135668,-2.477627215055386,1
-3.236637248949167,-2.619001560406343,1
-2.633292445814322,-1.8554514881140067,1
-2.8475826966009476,-1.9635441287645232,1
-2.947187048731716,-2.1471108930738234,1
-2.6360193011170168,-1.7399578263750677,1
-2.8816770458578205,-1.6830405920047813,1
-2.8632895151152695,-1.6107267764452788,1
-2.1168133312233666,-2.316646252752154,1
-2.0670082511299723,-2.2486398400147283,1
-1.929693159843148,-2.3255026368918426,1
-3.5886452335940975,-3.327030106184358,1
-3.4815661869467354,-3.255555848022972,1
-3.4349037504907205,-3.1524032306373355,1
-2.615662093783805,-2.1430874452166018,1
-2.5972076264122874,-2.224675053739666,1
-2.623319453334346,-2.269437899192188,1
-1.4138963928525818,-1.0993642616676176,1
-1.6315877373218706,-0.9845043432253568,1
-1.8865603430934152,-1.0848514090291608,1
-1.8445416492015463,-2.3467789365823366,1
-2.150949665097927,-2.4656710541386744,1
-2.537809331110303,-2.490882519007476,1
-1.9452948550486826,-1.2985105892093263,1
-1.996759012177041,-1.5266722321119461,1
-2.115630966603581,-1.6746657163969538,1
-2.8272442645227063,-2.4802508788371425,1
-3.039309284755881,-2.4512471035111427,1
-3.45820587008802,-2.359458887785923,1
-1.5134443711221728,-1.5447192797531484,1
-1.5713082129673448,-1.683999561242355,1
-1.7682287811815356,-1.7685099178208445,1
-2.3583463472616564,-2.479934039456057,1
-2.48262774953385,-2.3419331762713114,1
-2.708488154071654,-2.331387293566178,1
-2.5776527366128943,-2.1406815085296196,1
-2.8635004397179435,-2.4163652026502955,1
-2.709787037281089,-2.459247035226344,1
-2.831978649688266,-2.2770744322492065,1
-2.850136035768056,-2.379317746573796,1
-2.5739212996377248,-2.436328168332394,1
-2.8494239466573132,-2.3876464033668494,1
-3.03591036410441,-2.6520647193575284,1
-3.0867920584106106,-2.685183399792572,1
-1.9175731435360328,-1.7599003401958195,1
-1.7797232756755088,-1.8682199709814573,1
-1.7651335013467144,-1.9222607020245808,1
-2.968687598836394,-2.352317004319257,1
-2.6834227959987302,-2.1749403679156973,1
-2.3295106891082207,-2.0851327661444286,1
-2.383577906712979,-1.9836115300685646,1
-2.50591233473408,-2.0547726363464243,1
-2.5501709379097153,-1.965813302034897,1
-2.6358556907873085,-2.1226656199696197,1
-2.626067865675353,-2.016448333224289,1
-2.709193284966881,-1.9662935738979028,1
-2.2883842128916,-2.060948100173685,1
-2.116152214898213,-1.9377024874670123,1
-1.834064045502254,-1.9021147127455778,1
-2.556304603315725,-2.2864101846551406,1
-2.426397730804977,-2.473659556841759,1
-2.4399705399805143,-2.4492425501787247,1
-2.036281939684952,-1.440127801187454,1
-1.9627438480652533,-1.5027874549130544,1
-1.751360524104078,-1.3675069609698907,1
-2.7677936375515473,-2.2640029175402883,1
-2.650374769761446,-2.314898476092077,1
-2.5824434827479097,-2.279349915549155,1
-2.509558709634923,-2.2640338441291434,1
-2.5274701421572483,-2.245622814803883,1
-2.7088916002888714,-2.3680908915426278,1
-1.965772306553475,-1.4105789032885006,1
-1.9113344373317014,-1.357832278542391,1
-1.801923363021722,-1.2793407856859003,1
-1.95888891563982,-1.6613162470824043,1
-2.058938662905384,-1.488744478912085,1
-2.061485830824662,-1.5946634656844167,1
-2.6222929647707267,-2.5194170203354247,1
-2.8769605944024494,-2.5371321737883177,1
-2.973706632187012,-2.6202736553004993,1
-3.0201545249086177,-2.447760196793939,1
-3.111840621993009,-2.459677600578625,1
-3.233971995216569,-2.650988340644734,1
-1.9575694211130092,-2.1478835710277426,1
-1.7746173388361768,-2.037087951482385,1
-1.670064390351279,-2.0028053755511745,1
-3.659870988782198,-2.4395175906184656,1
-3.7557744527230907,-2.5005156097931103,1
-3.6505020418707517,-2.4585823609590096,1
-3.075085357058883,-2.893168549333271,1
-3.0547908226796787,-2.8328926223311273,1
-2.9275880108505197,-2.754181776116581,1
-2.3620997678070674,-2.1501655180264225,1
-1.7757959169642326,-1.7333559623620916,1
-1.3384217214858642,-1.2977644005525426,1
-2.6208045068571155,-2.3412375340197538,1
-2.4637801829944532,-2.3380308206872593,1
